Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Maverik #5211,2811 E Central Ave,,Bentonville,AR,72712,,479-254-0683,E,,Public,24 hours daily,,,,,,1,,,Non-Networked,,200-9,36.379802,-94.177871,5/9/2024,40965,2026-03-16 20:21:24 UTC,P,,,6/1/2011,,,,,J1772,US,,,,Public,,public,,,CONVENIENCE_STORE,,,,,,,Free,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,McLarty Daniel Nissan,2501 SE Moberly Ln,,Bentonville,AR,72712,,479-845-8484,E,,Private,,,,,,,1,,,Non-Networked,,GPS,36.3457,-94.18299,1/13/2026,44382,2026-02-02 23:16:24 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Superior Nissan - Conway,1090 Collier Dr,,Conway,AR,72032,,501-513-4655,E,,Private,,,,,,,1,,,Non-Networked,,GPS,35.094143,-92.42234,1/13/2026,44384,2026-02-02 23:16:24 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Superior Nissan,3372 N College Ave,,Fayetteville,AR,72703,,479-442-4251,E,,Public - Call ahead,Dealership business hours,,,,,,2,,,Non-Networked,,200-8,36.11277,-94.14429,2/12/2024,44385,2025-02-12 00:16:32 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Superior Nissan,3372 N College Ave,,Fayetteville,AR,72703,,479-442-4251,E,,Private,,,,,,,1,,,Non-Networked,,200-8,36.11277,-94.14429,2/12/2024,44386,2025-02-12 00:16:32 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Orr Nissan - Fort Smith,6520 Auto Park Dr,,Fort Smith,AR,72908,,479-648-1900,E,,Private,,,,,,,1,,,Non-Networked,,GPS,35.320553,-94.397058,1/13/2026,44388,2026-02-02 23:16:24 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Orr Nissan - Hot Springs,4111 Central Ave,,Hot Springs,AR,71913,,501-525-4511,E,,Private,,,,,,,1,,,Non-Networked,,GPS,34.453038,-93.066591,1/13/2026,44390,2026-02-02 23:16:24 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,McLarty Nissan - Little Rock,1 Colonel Glenn Plaza Dr,,Little Rock,AR,72210,,501-588-0438,E,,Private,,,,,,,1,,,Non-Networked,,GPS,34.712089,-92.404942,1/13/2026,44394,2026-02-02 23:16:24 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,McLarty Nissan - North Little Rock,5703 Landers Rd,,North Little Rock,AR,72117,,,E,,Private,,,,,,,1,,,Non-Networked,,GPS,34.8102,-92.2045,1/13/2026,44396,2026-02-02 23:16:24 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Welch Motor Co,2505 S Olive St,,Pine Bluff,AR,71601,,870-534-1551,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-8,34.20392,-92.00651,2/12/2024,44397,2025-02-12 00:16:32 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
